Department,Course,Name,AverageGPA
STAT,151,"Sean Graves",2.6
STAT,151,"Trevor Pasanen",2.5
STAT,235,"Alireza Simchi",2.4
STAT,235,"Michael Kowalski",2.5
STAT,235,"Rosana Fok",2.3
STAT,235,"Henryk Kolacz",2.2
STAT,235,"Byron Schmuland",2.9
STAT,235,"Michael Kowalski",2.5
STAT,265,"Selvakadunchi",2.3
STAT,266,"Byron Schmuland",3.0
STAT,266,"Sushma Lele",2.7
STAT,321,"Rohana Karunamuni",2.9
STAT,335,"Michael Kouirulin",2.1
STAT,341,"Adam Kashlani",2.9
STAT,371,"Tahir Choulli",2.9
STAT,471,"Tahir Choulli",2.9
